data,patrimonio_gerida,patrimonio_funcef,patrimonio_total,patrimonio_rv,fluxo_gerida,fluxo_funcef,fluxo_total,fluxo_rv,twr_gerida,twr_total,twr_rv,cdi_acum,ipca_acum,ibov_acum,sp500_brl_acum,nasdaq_brl_acum,ouro_brl_acum,drawdown
2026-03-24,111678.97748661919,1217755.9252233596,1329434.9027099789,37237.05763244629,796.6500000000001,0.0,796.6500000000001,0.0,0.3892755686545539,0.0481646056129299,0.09728301184252053,0.03131044640620506,0.0,0.1368514815714561,-0.09327486868803025,-0.09679122620154024,-0.037539894349513214,-0.022912252655280765
2026-03-25,112806.90339416607,1217755.9252233596,1330562.8286175258,37946.210693359375,0.0,0.0,0.0,0.0,0.4033068567436229,0.04905389474745947,0.11817997997079788,0.031870097333051906,0.0,0.15500906321828345,-0.08841346420093454,-0.0908025727753593,-0.00840667027080022,-0.01304394432206038
2026-03-26,111756.05629916598,1217755.9252233596,1329511.9815225257,37360.69330215454,0.0,0.0,0.0,0.0,0.3902344215518685,0.04822537675936922,0.10092624599296629,0.03243005196007065,0.0,0.13824678115598088,-0.10356174148134234,-0.11176338435035282,-0.044620239430812836,-0.022237884345198616
2026-03-27,111968.50287215902,1217755.9252233596,1329724.4280955186,37245.88290977478,0.0,0.0,0.0,0.0,0.39287723616340964,0.048392875730504326,0.09754307070600388,0.03299031045206724,0.0,0.13092145833722646,-0.11883805005106385,-0.12915124249623688,-0.011656003390676184,-0.02037917334955269
2026-03-30,112332.3383669457,1217755.9252233596,1330088.2635903053,37499.949634552,0.0,0.0,0.0,0.0,0.3974033141710369,0.048679734069429825,0.10502978202794244,0.03355087297393711,0.0,0.13688262665146778,-0.12182867663567132,-0.13542576155030728,-0.011341262029275434,-0.017195949326501814
2026-03-31,114258.36941142858,1230468.3053658362,1344726.6747772647,38774.30205154419,0.0,6425.08,6425.08,0.0,0.42136295218698194,0.05512422937228023,0.1425817624252217,0.034111739690665166,0.0,0.1677037978310567,-0.09176055535710514,-0.1013507901544215,0.03135284621217638,-0.00034495931098834514
2026-04-01,115102.04379140298,1230468.3053658362,1345570.3491572393,39243.87747955322,0.0,0.0,0.0,0.0,0.43185817904504176,0.05578620871478068,0.1564189765525814,0.034672910767325815,0.006699999999999928,0.17076224468820667,-0.09762256817483994,-0.10305757348404454,0.03494434834283777,0.0
2026-04-02,114903.87515144463,1230468.3053658362,1345372.180517281,39387.42651557922,0.0,0.0,0.0,0.0,0.42939298052546726,0.05563071798388086,0.1606490078335827,0.03523438636908294,0.006699999999999928,0.17137891727243848,-0.10327415388273686,-0.10872643274476368,0.007378816819117118,-0.0017216778558465761
2026-04-03,114903.87515144463,1230468.3053658362,1345372.180517281,39387.42651557922,0.0,0.0,0.0,0.0,0.42939298052546726,0.05563071798388086,0.1606490078335827,0.03523438636908294,0.006699999999999928,0.17137891727243848,-0.10294357770056295,-0.10839786653424188,0.007750184996703213,-0.0017216778558465761
2026-04-06,115025.84905115323,1230468.3053658362,1345494.1544169895,39482.54491996765,0.0,0.0,0.0,0.0,0.4309103239207268,0.055726423393275715,0.16345190945591836,0.03579616666119012,0.006699999999999928,0.1720641090326962,-0.09871045522176514,-0.10269958035367854,0.004260510006627527,-0.0006619755630736877
2026-04-07,114798.41084847524,1230468.3053658362,1345266.7162143115,39239.76711654663,0.0,0.0,0.0,0.0,0.4280810149006198,0.0555479666385823,0.15629785442891198,0.03635825180899044,0.006699999999999928,0.17266832358492334,-0.10145363510716932,-0.1057324467741978,0.010150722835295722,-0.0026379457125714203
